#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","DLC: HearthFires",-1,"","",""
"+","DLC: Dragonborn",-1,"","",""
"+","DLC: Dawnguard",-1,"","",""
"-","Version 2.55_separator",-1,"","",""
"-","Essentials_separator",-1,"","",""
"+","Dummy Plugins - Load Order Protection",-1,"","",""
"+","Cleaned Master Files",31673,"https://www.nexusmods.com/skyrimspecialedition/mods/31673","1.2.0.0","Skyrim VR Core USSEP 4.2.1 and SSE 1.5.97 Compatibility.zip"
"+","Essential Boot Files",0,"","",""
"+","SKSE Scripts",0,"","",""
"+","Unofficial Skyrim Special Edition Patch",266,"https://www.nexusmods.com/skyrimspecialedition/mods/266","4.2.5.0b","Unofficial Skyrim Special Edition Patch-266-4-2-5b-1623727189.7z"
"+","VR Address Library for SKSEVR",58101,"https://www.nexusmods.com/skyrimspecialedition/mods/58101","0.153.0.0","VR Address Library-58101-0-153-0-1727253547.7z"
"+","Vanilla Script (micro)Optimizations",54061,"https://www.nexusmods.com/skyrimspecialedition/mods/54061","1.17.0.0","Vanilla Script MicroOptimizations-54061-1-17-1696891566.zip"
"+","Simply Optimized Scripts AIO",97155,"https://www.nexusmods.com/skyrimspecialedition/mods/97155","1.0.2.0","SCROTE Loose Files Version-97155-1-0-2-1714948591.7z"
"+","PapyrusUtil VR - Scripting Utility Functions",13048,"https://www.nexusmods.com/skyrimspecialedition/mods/13048","3.6.0.0b","PapyrusUtil VR - Scripting Utility Functions-13048-3-6b-1545409528.zip"
"+","powerofthree's Papyrus Extender",22854,"https://www.nexusmods.com/skyrimspecialedition/mods/22854","5.8.0.0","Papyrus Extender-22854-5-8-0-1722764081.7z"
"+","Papyrus Extender VR",58296,"https://www.nexusmods.com/skyrimspecialedition/mods/58296","5.8.0.0","Papyrus Extender VR-58296-5-8-0-1724647637.7z"
"+","Papyrus Tweaks NG",77779,"https://www.nexusmods.com/skyrimspecialedition/mods/77779","4.1.0.0","Papyrus Tweaks 4.1.0-77779-4-1-0-1677126184.rar"
"+","Andrealphus' Papyrus Functions",85252,"https://www.nexusmods.com/skyrimspecialedition/mods/85252","1.4.3.0","Andrealphus' Papyrus Functions-85252-1-4-3-1688750777.7z"
"+","AnimObject Swapper VR",75455,"https://www.nexusmods.com/skyrimspecialedition/mods/75455","1.1.0.0","AnimObject Swapper VR-75455-1-1-0-1666425597.7z"
"+","Base Object Swapper VR",61734,"https://www.nexusmods.com/skyrimspecialedition/mods/61734","3.1.1.0","Base Object Swapper VR-61734-3-1-1-1720244303.7z"
"+","powerofthree's Tweaks",51073,"https://www.nexusmods.com/skyrimspecialedition/mods/51073","1.11.0.0","powerofthree's Tweaks-51073-1-11-0-1722468545.7z"
"+","powerofthree's Tweaks VR",59510,"https://www.nexusmods.com/skyrimspecialedition/mods/59510","1.11.0.0","powerofthree's Tweaks VR-59510-1-11-0-1724647971.7z"
"+","Crash Logger SSE VR",59818,"https://www.nexusmods.com/skyrimspecialedition/mods/59818","1.14.1.0","CrashLogger-59818-1-14-1-1716098655.7z"
"+","Crash Logger SSE VR PDB",59818,"https://www.nexusmods.com/skyrimspecialedition/mods/59818","2024.7.21.0","SkyrimVR PDB-59818-2024-07-21-1721615789.7z"
"+","Engine Fixes VR",62089,"https://www.nexusmods.com/skyrimspecialedition/mods/62089","1.26.0.0","Engine Fixes VR v1.26-62089-v1-26-1714050603.zip"
"+","JContainers VR",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.1.13.0","JContainers VR-16495-4-1-13-1602690839.7z"
"+","Skyrim VR ESL Support",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.2.0.0","Skyrim VR ESL-106712-1-2-1710128225.zip"
"+","PapyrusUtil ESL Patch",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.1.0.0","PapyrusUtil ESL Patch-106712-1-1-1710120108.zip"
"+","RaceMenu ESL Patch",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.0.0.0","RaceMenu ESL Patch-106712-1-0-1710105383.zip"
"+","Skyrim VR Tools",27782,"https://www.nexusmods.com/skyrimspecialedition/mods/27782","2.3.0.0-BETA","SkyrimVRTools-27782-2-3-BETA-1590789255.zip"
"+","Spell Perk Item Distributor (SPID) VR",59121,"https://www.nexusmods.com/skyrimspecialedition/mods/59121","7.1.3.0","Spell Perk Item Distributor VR-59121-7-1-3-1716087780.7z"
"-","User Interface_separator",-1,"","",""
"+","SkyUI - VR",91535,"https://www.nexusmods.com/skyrimspecialedition/mods/91535","1.2.2.0","SkyUI VR-91535-1-2-2-1684306071.7z"
"+","Constructible Object Custom Keyword System",81409,"https://www.nexusmods.com/skyrimspecialedition/mods/81409","1.1.1.0","Crafting Categories for SkyUI VR-81409-1-1-1-1713865558.7z"
"+","Dear Diary VR - Paper SkyUI and Categorized Favorites",44874,"https://www.nexusmods.com/skyrimspecialedition/mods/44874","f1.06","Dear Diary VR - Paper SkyUI and Categorized Favorites-44874-1-06-1617397007.7z"
"+","Dear Diary Light and Wood and Paper for C.O.C.K.S VR",100170,"https://www.nexusmods.com/skyrimspecialedition/mods/100170","1.0.0.0","Dear Diary Light Skin for C.O.C.K.S VR-100170-1-0-0-1694133602.7z"
"+","UIExtensions",17561,"https://www.nexusmods.com/skyrimspecialedition/mods/17561","1.2.0.0","UIExtensions v1-2-0-17561-1-2-0.7z"
"+","AddItemMenu - Ultimate Mod Explorer",17563,"https://www.nexusmods.com/skyrimspecialedition/mods/17563","1.14.0.0","AddItemMenuSE_114_SKSE2019-17563-1-14-1598741692.7z"
"+","AddItemMenu - NG",71409,"https://www.nexusmods.com/skyrimspecialedition/mods/71409","1.4.0.0","AddItemMenu - NG-71409-1-4-1663769145.7z"
"+","AddItemMenu Search VR Keyboard Patch",101193,"https://www.nexusmods.com/skyrimspecialedition/mods/101193","0.1.0.0.b","AddItemMenu search patch and  fix many items CTD-101193-0-1-0-b-1695521095.rar"
"+","Description Framework",105799,"https://www.nexusmods.com/skyrimspecialedition/mods/105799","2.1.1.0","Description Framework-105799-2-1-1-1716528666.zip"
"+","Descriptions for Various Mods",106229,"https://www.nexusmods.com/skyrimspecialedition/mods/106229","2.4.2.0","Descriptions for Various Mods-106229-2-4-2-1725296006.zip"
"+","Dialogue Movement Enabler VR",59816,"https://www.nexusmods.com/skyrimspecialedition/mods/59816","2.2.0.0","Dialogue Movement Enabler VR-59816-2-2-0-1654850813.7z"
"+","Essential Favorites VR",59554,"https://www.nexusmods.com/skyrimspecialedition/mods/59554","2.2.0.0","Essential Favorites VR-59554-2-2-0-1643620460.7z"
"+","Even Better Quest Objectives SE",159,"https://www.nexusmods.com/skyrimspecialedition/mods/159","1.10.0.0","Even Better Quest Objectives SE v1.10.0-159-1-10-0-1715908067.7z"
"+","Forget Spell",51125,"https://www.nexusmods.com/skyrimspecialedition/mods/51125","1.2.6.0","Forget Spell-51125-1-2-6-1702301931.7z"
"+","Instant Equip VR",44571,"https://www.nexusmods.com/skyrimspecialedition/mods/44571","1.0.0.0","Instant Equip VR-44571-1-0-0-1611111731.zip"
"+","Keyword Item Distributor",55728,"https://www.nexusmods.com/skyrimspecialedition/mods/55728","3.4.0.0","Keyword Item Distributor-55728-3-4-0-1710234193.7z"
"+","Loading Screen Truce AE",104522,"https://www.nexusmods.com/skyrimspecialedition/mods/104522","f0.01-AE1.1","Loading Screen Truce AE Support-104522-0-01-AE1-1-1704032690.7z"
"+","MCM Helper VR",53000,"https://www.nexusmods.com/skyrimspecialedition/mods/53000","1.5.0.0","MCM Helper-53000-1-5-0-1702843613.7z"
"+","MCM Recorder",61719,"https://www.nexusmods.com/skyrimspecialedition/mods/61719","1.0.7.0","MCM Recorder-61719-1-0-7-1642847171.zip"
"+","MCM Recorder Settings",-1,"","",""
"+","moreHUD VR",33215,"https://www.nexusmods.com/skyrimspecialedition/mods/33215","1.1.0.0","moreHUD VR-33215-1-1-0-1652988637.7z"
"+","moreHUD Inventory Edition VR",59142,"https://www.nexusmods.com/skyrimspecialedition/mods/59142","1.0.18.0","moreHUD Inventory Edition VR-59142-1-0-18-1652997855.7z"
"+","MoreHUD Inventory Patch for SkyUI",43593,"https://www.nexusmods.com/skyrimspecialedition/mods/43593","1.0.0.0","moreHUDInventoryPatch_AdventureTheme-43593-1-0-1608715889.zip"
"+","More Informative Console",19250,"https://www.nexusmods.com/skyrimspecialedition/mods/19250","1.2.1.0","More Informative Console 1.2.1-19250-1-2-1-1719880776.zip"
"+","NPC Clothes Changer and Maintainer SSE",50066,"https://www.nexusmods.com/skyrimspecialedition/mods/50066","1.21.0.0","Outfit Changer SSE-50066-1-21-1629899168.rar"
"+","Scaleform Translation Plus Plus VR",60210,"https://www.nexusmods.com/skyrimspecialedition/mods/60210","1.4.1.0","ScaleformTranslationPP VR-60210-1-4-1-1639722419.7z"
"+","Vanilla Item Descriptions",105970,"https://www.nexusmods.com/skyrimspecialedition/mods/105970","1.1.0.0","Vanilla Item Descriptions-105970-1-1-1701739804.zip"
"+","VR Perk Extender",16330,"https://www.nexusmods.com/skyrimspecialedition/mods/16330","2.0.0.0","SKSEVR Perk Extender-16330-2-0-1577426728.zip"
"+","VR Smooth Dialogue Mesh",107993,"https://www.nexusmods.com/skyrimspecialedition/mods/107993","1.0.0.0","VR Smooth Dialogue Mesh-107993-1-0-0-1703910901.zip"
"+","Whose Quest Is It Anyway",23581,"https://www.nexusmods.com/skyrimspecialedition/mods/23581","1.5.0.0","Whose Quest Is It Anyway-23581-1-5-0-1682374361.zip"
"+","Whose Quest Is It Anyway VR",60211,"https://www.nexusmods.com/skyrimspecialedition/mods/60211","1.3.0.0","WhoseQuestIsItAnyway VR-60211-1-3-0-1639723153.7z"
"-","Fixes and Utilities_separator",-1,"","",""
"+","Alchemy XP Fix VR",118746,"https://www.nexusmods.com/skyrimspecialedition/mods/118746","1.0.0.1","Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z"
"+","Auto Parallax",79473,"https://www.nexusmods.com/skyrimspecialedition/mods/79473","1.0.27.0","Auto Parallax-79473-1-0-27-1669777275.zip"
"+","Better Resource Warnings",26751,"https://www.nexusmods.com/skyrimspecialedition/mods/26751","2.2.0.0","Better Resource Warnings-26751-2-2-1609018535.7z"
"+","Bound Dagger CTD Fix",45191,"https://www.nexusmods.com/skyrimspecialedition/mods/45191","2.0.0.0","Bound Dagger CTD Fix-45191-2-1630253612.zip"
"+","Combat Music Fix NG",110459,"https://www.nexusmods.com/skyrimspecialedition/mods/110459","1.1.0.0","Combat Music Fix NG-110459-1-1-0-1706653528.7z"
