#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","DLC: HearthFires",-1,"","",""
"+","DLC: Dragonborn",-1,"","",""
"+","DLC: Dawnguard",-1,"","",""
"-","Mad God Overhaul - NSFW - 4.0 BETA RC3_separator",-1,"","",""
"-","#Essentials_separator",-1,"","",""
"+","##Core Engine Fixes & Performance_separator",-1,"","",""
"+","Cleaned Master Files",31673,"https://www.nexusmods.com/skyrimspecialedition/mods/31673","1.2.0.0","Skyrim VR Core USSEP 4.2.1 and SSE 1.5.97 Compatibility.zip"
"+","Skyrim Script Extender for VR (SKSEVR)",30457,"https://www.nexusmods.com/skyrimspecialedition/mods/30457","2.0.12.0","Skyrim Script Extender for VR (SKSEVR)-30457-2-0-12-1715212974.7z"
"+","VR Address Library for SKSEVR",58101,"https://www.nexusmods.com/skyrimspecialedition/mods/58101","0.241.0.0","VR Address Library-58101-0-241-0-1784542148.7z"
"+","SSE Fixes",10547,"https://www.nexusmods.com/skyrimspecialedition/mods/10547","3.0.0.0VR.1.4.15","(Skyrim VR) SSE Fixes v3 for Skyrim VR 1.4.15-10547-3VR-1-4-15.7z"
"+","Engine Fixes VR",62089,"https://www.nexusmods.com/skyrimspecialedition/mods/62089","7.4.8.0","Engine Fixes VR-62089-7-4-8-1783393897.7z"
"+","Engine Fixes VR - Part 2",62089,"https://www.nexusmods.com/skyrimspecialedition/mods/62089","1.26.0.0","Part 2 Engine Fixes VR v1.26-62089-v1-26-1714050654.zip"
"+","Private Profile Redirector",0,"","0.6.3.0rc1","PrivateProfileRedirector.0.6.3rc1.zip"
"+","Disk Cache Enabler",100975,"https://www.nexusmods.com/skyrimspecialedition/mods/100975","1.2.0.0","DiskCacheEnabler-1.2-100975-1-2-1705561431.zip"
"+","Save and Load Accelerator for SKSE Cosaves - S.L.A.C.K",163969,"https://www.nexusmods.com/skyrimspecialedition/mods/163969","1.3.2.0","Save and Load Accelerator For SKSE Cosaves-163969-1-3-2-1768177139.zip"
"+","Skyrim Priority SE AE - SKSE Plugin",50129,"https://www.nexusmods.com/skyrimspecialedition/mods/50129","3.4.0.0","Skyrim Priority SE AE-50129-3-4-0-1675213326.zip"
"+","Faster Cell Lookup",178777,"https://www.nexusmods.com/skyrimspecialedition/mods/178777","1.6.0.0","Faster Cell Lookup-178777-1-6-1779822234.zip"
"+","Faster Decompression",174643,"https://www.nexusmods.com/skyrimspecialedition/mods/174643","1.3.0.0","Fast Decompress-174643-1-3-1773820113.zip"
"+","My Minimalistic AutoSave Mod",37133,"https://www.nexusmods.com/skyrimspecialedition/mods/37133","5.1.0.0","Minimalistic AutoSave-37133-5-1-1701267785.7z"
"+","##Diagnostic & Logging_separator",-1,"","",""
"+","Crash Logger SSE VR PDB",59818,"https://www.nexusmods.com/skyrimspecialedition/mods/59818","1.21.0.0","CrashLogger-59818-1-21-0-1777191546.7z"
"+","Tullius CTD Logger",172272,"https://www.nexusmods.com/skyrimspecialedition/mods/172272","0.2.49.0","Tullius_ctd_loger 0.2.49-172272-0-2-49-1775126265.zip"
"+","Recursion Monitor",76867,"https://www.nexusmods.com/skyrimspecialedition/mods/76867","1.2.0.0","Recursion Fix-76867-1-2-1666911818.rar"
"+","##Global Scripting Framework_separator",-1,"","",""
"+","Skyrim VR ESL Support",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.3.2.0","Skyrim VR ESL-106712-1-3-2-1773195184.7z"
"+","powerofthree's Papyrus Extender",22854,"https://www.nexusmods.com/skyrimspecialedition/mods/22854","6.3.0.0","Papyrus Extender-22854-6-3-0-1766509921.7z"
"+","Papyrus Extender VR",58296,"https://www.nexusmods.com/skyrimspecialedition/mods/58296","6.3.0.0","Papyrus Extender VR-58296-6-3-0-1769590502.7z"
"+","Simply Optimized Scripts AIO",97155,"https://www.nexusmods.com/skyrimspecialedition/mods/97155","1.0.2.0","SCROTE Loose Files Version-97155-1-0-2-1714948591.7z"
"+","powerofthree's Tweaks",51073,"https://www.nexusmods.com/skyrimspecialedition/mods/51073","1.15.1.0","powerofthree's Tweaks-51073-1-1-5-1-1756670335.7z"
"+","powerofthree's Tweaks VR",59510,"https://www.nexusmods.com/skyrimspecialedition/mods/59510","1.15.1.0","powerofthree's Tweaks VR-59510-1-15-1-1769592849.7z"
"+","Papyrus Tweaks NG",77779,"https://www.nexusmods.com/skyrimspecialedition/mods/77779","4.1.1.0","Papyrus Tweaks 4.1.1-77779-4-1-1-1761101872.rar"
"+","JContainers VR",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.2.11.0","JContainers VR-16495-4-2-11-1710863450.7z"
"+","Skyrim VR Tools",27782,"https://www.nexusmods.com/skyrimspecialedition/mods/27782","2.3.0.0-BETA","SkyrimVRTools-27782-2-3-BETA-1590789255.zip"
"+","PapyrusUtil VR - Scripting Utility Functions",13048,"https://www.nexusmods.com/skyrimspecialedition/mods/13048","3.6.0.0b","PapyrusUtil VR - Scripting Utility Functions-13048-3-6b-1545409528.zip"
"+","PapyrusUtil ESL Patch",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.1.0.0","PapyrusUtil ESL Patch-106712-1-1-1710120108.zip"
"+","MergeMapper",74689,"https://www.nexusmods.com/skyrimspecialedition/mods/74689","1.5.0.0","MergeMapper-74689-1-5-0-1683883576.7z"
"+","##Distribution & Injection Frameworks_separator",-1,"","",""
"+","Spell Perk Item Distributor (SPID) VR",59121,"https://www.nexusmods.com/skyrimspecialedition/mods/59121","7.2.0.0","Spell Perk Item Distributor VR-59121-7-2-0-1773647759.7z"
"+","Base Object Swapper VR",61734,"https://www.nexusmods.com/skyrimspecialedition/mods/61734","3.4.1.0","Base Object Swapper VR-61734-3-4-1-1753861337.7z"
"+","SkyPatcher",106659,"https://www.nexusmods.com/skyrimspecialedition/mods/106659","6.4.1.0","SkyPatcher - VR-106659-6-4-1-1777328406.zip"
"+","SkyPatcher Keyword Framework",127024,"https://www.nexusmods.com/skyrimspecialedition/mods/127024","1.4.0.0","SkyPatcher Keyword Framework-127024-1-4-0-1752431146.zip"
"+","Behavior Data Injector",78146,"https://www.nexusmods.com/skyrimspecialedition/mods/78146","0.13.0.0","Behavior Data Injector-78146-v0-13-1667564855.7z"
"+","Behavior Data Injector Universal Support",78159,"https://www.nexusmods.com/skyrimspecialedition/mods/78159","0.13.0.1","Behavior Data Injector Universal Support-78159-v0-13-0-1-1679695849.zip"
"+","Payload Interpreter",65089,"https://www.nexusmods.com/skyrimspecialedition/mods/65089","1.1.0.0","Payload Interpreter-65089-1-1-0-1685672813.zip"
"+","FormList Manipulator - FLM",74037,"https://www.nexusmods.com/skyrimspecialedition/mods/74037","1.8.1.0","FormList Manipulator - FLM-74037-1-8-1-1727507011.zip"
"+","Sonders Keyword Distribution Resources",93995,"https://www.nexusmods.com/skyrimspecialedition/mods/93995","2.1.0.0","Sonders Keyword Distribution Resources-93995-2-1-1767046402.zip"
"+","Constructible Object Custom Keyword System",81409,"https://www.nexusmods.com/skyrimspecialedition/mods/81409","1.1.1.0","Crafting Categories for SkyUI VR-81409-1-1-1-1713865558.7z"
"+","Keyword Item Distributor",55728,"https://www.nexusmods.com/skyrimspecialedition/mods/55728","4.0.6.0","Keyword Item Distributor 55728 4.0.6 2026-06-30T14-22Z hfH9s6Iim.7z"
"+","Object Categorization Framework",81469,"https://www.nexusmods.com/skyrimspecialedition/mods/81469","6.1.0.0","Object Categorization Framework-81469-6-1-0-1736820849.zip"
"+","Native EditorID Fix VR",179558,"https://www.nexusmods.com/skyrimspecialedition/mods/179558","1.0.0.0","NativeEditorIDFixVR-179558-1-0-0-1778309556.zip"
"+","##Visual Frameworks & Optimization_separator",-1,"","",""
"+","MisMatchR",147580,"https://www.nexusmods.com/skyrimspecialedition/mods/147580","6.427.0.0a","MisMatchR MO2-147580-v6-427a-1777317851.zip"
"+","BENDr",121578,"https://www.nexusmods.com/skyrimspecialedition/mods/121578","f3.0331","BENDr-121578-v3-0331-1774972615.zip"
"+","PGPatcher",120946,"https://www.nexusmods.com/skyrimspecialedition/mods/120946","1.1.4.0","PGPatcher 120946 1.1.4 2026-06-24T14-34Z QRde31YZG.zip"
"+","VRAMr",90557,"https://www.nexusmods.com/skyrimspecialedition/mods/90557","f16.0310","VRAMr-90557-v16-0310-1773176836.zip"
"+","#Bug & Script Fixes_separator",-1,"","",""
"+","##Essential Fixes & Patches_separator",-1,"","",""
"+","Unofficial Skyrim Special Edition Patch",266,"https://www.nexusmods.com/skyrimspecialedition/mods/266","4.2.5.0b","Unofficial Skyrim Special Edition Patch-266-4-2-5b-1623727189.7z"
"+","Skyrim Cell Load Freeze Fix NG",160704,"https://www.nexusmods.com/skyrimspecialedition/mods/160704","0.0.4.0","skyrim-freeze-fix-160704-0-0-4-1760281302.7z"
"+","LeveledList Crash Fix VR",156773,"https://www.nexusmods.com/skyrimspecialedition/mods/156773","1.1.1.0","Leveled List Crash Fix VR-156773-1-1-1-1755068263.7z"
"+","Alchemy XP Fix VR",118746,"https://www.nexusmods.com/skyrimspecialedition/mods/118746","1.0.0.1","Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z"
"+","OnMagicEffectApply Replacer",67968,"https://www.nexusmods.com/skyrimspecialedition/mods/67968","1.8.2.0","OnMagicEffectApply Replacer Effective-67968-1-8-2-1708954935.zip"
"+","Fixed Bound Sword and Dagger Collision",60064,"https://www.nexusmods.com/skyrimspecialedition/mods/60064","1.0.0.0","Improved Bound Sword and Dagger Collision-60064-1-0-0-1639480565.zip"
"+","Collision Sentinel - Crash Fix",181445,"https://www.nexusmods.com/skyrimspecialedition/mods/181445","1.7.0.0","CollisionSentinel-181445-1-7-0-1780756918.7z"
"+","BGSWaterCollision - CrashFix",181562,"https://www.nexusmods.com/skyrimspecialedition/mods/181562","f1.00","BGSWaterCollisionCrashFix-181562-1-00-1780506561.7z"
"+","Poached Bugs VR",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.6.0.0","Poached Bugs VR Core File-107053-0-6-0-1764126458.7z"
"+","Poached Bugs VR - Simonrim Choice Config",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.6.0.0","Simonrim Choice Config 0.6.0-107053-0-6-0-1764126330.7z"
"+","Particle Patch",65720,"https://www.nexusmods.com/skyrimspecialedition/mods/65720","1.4.0.0","Particle Patch-65720-1-4-0-1768587034.zip"
"+","CS Particle Patch",147270,"https://www.nexusmods.com/skyrimspecialedition/mods/147270","1.5.2.0","CS Particle Patch-147270-1-5-2-1750272045.zip"
